A1131,I23,建设银行,8227,NULL,202012
A2439,I3629,中国人民银行,5036,NULL,202012
F3054,G1639,工商银行,2631,NULL,202012
F3132,I2400,中国人民银行,9419,NULL,202012
B1882,F757,中国农业银行,9947,NULL,202012
D2114,H1492,中国人民银行,9011,NULL,202012
B1047,E2083,浦发银行,9294,NULL,202012
C3337,D216,工商银行,9929,NULL,202012
G3119,I3690,工商银行,2130,NULL,202012
F2323,I418,工商银行,6032,NULL,202012
E2825,K3001,中国人民银行,5986,NULL,202012
C669,I162,农业银行,5052,NULL,202012
E594,K3178,中国农业银行,3238,NULL,202012
F1011,D478,中国农业银行,2270,NULL,202012
F2471,E3570,建设银行,1593,NULL,202012
B788,F476,浦发银行,3717,NULL,202012
A668,E3638,浦发银行,4379,NULL,202012
H1538,E467,浦发银行,3385,NULL,202012
A2369,K3010,浦发银行,7589,NULL,202012
A3471,I1576,建设银行,5597,NULL,202012
B3362,H1502,农业银行,5393,NULL,202012
B2699,J3683,中国人民银行,3151,NULL,202012
F3666,J1764,农业银行,4021,NULL,202012
C3033,H1633,浦发银行,3114,NULL,202012
B2936,D281,NULL,1815,NULL,202012
G2495,H2792,中国人民银行,5105,NULL,202012
H3201,H2270,NULL,2181,NULL,202012
D246,F1560,农业银行,8307,NULL,202012
H1513,I182,NULL,1487,NULL,202012
H1794,E2268,NULL,7634,NULL,202012
G90,H56,NULL,1676,NULL,202012
D2929,K2931,建设银行,7279,NULL,202012
D2244,F1529,NULL,3555,NULL,202012
E3178,E1378,浦发银行,7372,NULL,202012
B2899,D2688,建设银行,7194,NULL,202012
C3493,K2089,农业银行,2173,NULL,202012
B414,D2767,中国农业银行,4479,NULL,202012
F1978,G565,农业银行,7037,NULL,202012
C3221,K1561,南京银行,9148,NULL,202012
D3787,H1401,中国农业银行,8900,NULL,202012
H2785,H1138,NULL,1589,NULL,202012
A1882,F1017,南京银行,8962,NULL,202012
D1864,J3510,NULL,2816,NULL,202012
D3795,K333,农业银行,6742,NULL,202012
H17,H3462,建设银行,8733,NULL,202012
B1437,E2815,工商银行,1602,NULL,202012
D301,G893,南京银行,3134,NULL,202012
B3280,K2677,工商银行,3345,NULL,202012
A1957,K1806,农业银行,4312,NULL,202012
A2260,K3351,农业银行,8624,NULL,202012
C1733,F1981,工商银行,4775,NULL,202012
G2105,H3692,农业银行,6657,NULL,202012
D3254,E2516,南京银行,7812,NULL,202012
G3361,H1949,南京银行,7109,NULL,202012
H2217,D2770,中国人民银行,6548,NULL,202012
