A1131,nameA1131,1,2,83930,5,公司,202012
A2439,nameA2439,2,4,31831,1,公司,202012
F3054,nameF3054,5,2,39490,5,公司,202012
F3132,nameF3132,5,2,95791,1,公司,202012
B1882,nameB1882,3,5,7412,2,公司,202012
D2114,nameD2114,5,2,71146,1,公司,202012
B1047,nameB1047,5,2,91495,1,公司,202012
C3337,nameC3337,2,5,44107,4,公司,202012
G3119,nameG3119,2,4,82075,5,公司,202012
F2323,nameF2323,4,1,24217,1,公司,202012
E2825,nameE2825,1,5,64824,4,公司,202012
C669,nameC669,5,1,51282,3,公司,202012
E594,nameE594,3,4,59442,2,公司,202012
F1011,nameF1011,1,1,80325,NULL,公司,202012
F2471,nameF2471,4,5,73181,1,公司,202012
B788,nameB788,5,2,57891,5,公司,202012
A668,nameA668,2,3,50697,2,公司,202012
H1538,nameH1538,4,4,25437,NULL,公司,202012
A2369,nameA2369,2,4,36690,3,公司,202012
A3471,nameA3471,3,2,27400,2,公司,202012
B3362,nameB3362,4,2,77336,3,公司,202012
B2699,nameB2699,2,2,43471,2,公司,202012
F3666,nameF3666,4,2,65894,NULL,公司,202012
C3033,nameC3033,2,2,56334,3,公司,202012
B2936,nameB2936,4,4,74548,2,公司,202012
G2495,nameG2495,4,3,14663,5,公司,202012
H3201,nameH3201,5,3,7782,2,公司,202012
D246,nameD246,3,1,61949,NULL,公司,202012
H1513,nameH1513,4,1,155,5,公司,202012
H1794,nameH1794,2,3,83386,3,公司,202012
G90,nameG90,3,4,55231,1,公司,202012
D2929,nameD2929,5,1,91653,NULL,公司,202012
D2244,nameD2244,4,3,62409,4,公司,202012
E3178,nameE3178,3,1,78998,4,公司,202012
B2899,nameB2899,1,1,45481,2,公司,202012
C3493,nameC3493,4,1,78731,NULL,公司,202012
B414,nameB414,1,5,12106,5,公司,202012
F1978,nameF1978,2,1,49008,2,公司,202012
C3221,nameC3221,2,5,62514,3,公司,202012
D3787,nameD3787,5,1,71438,NULL,公司,202012
H2785,nameH2785,3,5,48352,NULL,公司,202012
A1882,nameA1882,3,4,14823,2,公司,202012
D1864,nameD1864,1,5,97668,4,公司,202012
D3795,nameD3795,5,5,35621,5,公司,202012
H17,nameH17,3,2,75852,2,公司,202012
B1437,nameB1437,1,3,36636,2,公司,202012
D301,nameD301,4,5,9023,3,公司,202012
B3280,nameB3280,1,2,26018,2,公司,202012
A1957,nameA1957,2,2,39624,2,公司,202012
A2260,nameA2260,2,2,26444,NULL,公司,202012
C1733,nameC1733,4,1,71732,4,公司,202012
G2105,nameG2105,5,5,29091,NULL,公司,202012
D3254,nameD3254,4,1,67976,3,公司,202012
G3361,nameG3361,2,3,93988,1,公司,202012
H2217,nameH2217,1,5,34022,1,公司,202012
C3387,nameC3387,4,1,11973,2,公司,202012
G3601,nameG3601,1,1,66289,3,公司,202012
H3798,nameH3798,2,1,12954,1,公司,202012
B1875,nameB1875,3,3,58934,NULL,公司,202012
G3049,nameG3049,1,3,53929,2,公司,202012
E1636,nameE1636,5,1,86196,4,公司,202012
B2243,nameB2243,1,4,69017,3,公司,202012
E854,nameE854,3,2,2253,5,公司,202012
B3545,nameB3545,3,1,46997,2,公司,202012
H1593,nameH1593,1,1,67025,NULL,公司,202012
D3251,nameD3251,3,2,96609,NULL,公司,202012
E1115,nameE1115,4,2,98414,2,公司,202012
E3163,nameE3163,5,3,57840,5,公司,202012
G3061,nameG3061,4,3,86008,3,公司,202012
A3001,nameA3001,3,3,47436,2,公司,202012
B21,nameB21,2,2,26267,1,公司,202012
F390,nameF390,1,5,44625,3,公司,202012
F440,nameF440,4,1,10342,4,公司,202012
A230,nameA230,5,4,71297,3,公司,202012
D2190,nameD2190,5,1,76019,2,公司,202012
B1091,nameB1091,4,4,41504,1,公司,202012
G3282,nameG3282,3,2,14027,2,公司,202012
A3923,nameA3923,1,1,38348,5,公司,202012
C1540,nameC1540,2,3,89794,4,公司,202012
A1124,nameA1124,4,4,56754,5,公司,202012
C232,nameC232,5,2,93220,4,公司,202012
H1641,nameH1641,5,4,53844,5,公司,202012
A773,nameA773,4,3,79885,2,公司,202012
E2563,nameE2563,2,4,32138,5,公司,202012
G2928,nameG2928,4,4,87806,2,公司,202012
E3390,nameE3390,3,5,85782,2,公司,202012
H3074,nameH3074,4,4,3508,4,公司,202012
A79,nameA79,3,3,51805,3,公司,202012
B2892,nameB2892,2,5,9460,NULL,公司,202012
F200,nameF200,4,1,24341,2,公司,202012
B2669,nameB2669,2,1,93689,2,公司,202012
D3042,nameD3042,2,2,70591,NULL,公司,202012
D1999,nameD1999,4,2,36204,NULL,公司,202012
H1230,nameH1230,1,5,65191,3,公司,202012
C1815,nameC1815,4,3,1631,2,公司,202012
A613,nameA613,1,4,56060,4,公司,202012
C1372,nameC1372,2,2,60507,3,公司,202012
F1424,nameF1424,3,2,53199,2,公司,202012
C3736,nameC3736,2,5,48095,3,公司,202012
C1146,nameC1146,2,1,53608,3,公司,202012
C1326,nameC1326,4,2,86601,5,公司,202012
E3666,nameE3666,5,4,74216,1,公司,202012
C1140,nameC1140,5,3,83828,5,公司,202012
F3516,nameF3516,4,1,85604,3,公司,202012
A1712,nameA1712,5,4,7579,4,公司,202012
